player,nation,position,squad,age,born,matches_played,startsminutes,goals,assists,penalties,penalties_scored,yellow_cards,red_cards,goals_per_90,assists_per_90,goals_and_assists_per_90,goals_minus_pens_per_90,goals_plus_assists_minus_pens_per_90,xG,npxG,xA,xG90,xA90,xG_plus_xA_90,npxG90,npxG_plus_xA90
Luca Siligardi,it,"FW,MF",Parma,31,1988,12,,0,1,0,0,0,0,0.00,0.27,0.27,0.00,0.27,0.7,0.7,0.1,0.18,0.03,0.21,0.18,0.21
André Silva,pt,FW,Milan,23,1995,1,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.54,0.00,0.54,0.54,0.54
Marco Silvestri,it,GK,Hellas Verona,28,1991,35,,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Giovanni Simeone,ar,FW,Cagliari,24,1995,37,,12,3,0,0,4,0,0.37,0.09,0.46,0.37,0.46,12.1,12.1,2.3,0.37,0.07,0.44,0.37,0.44
Wilfried Singo,ci,DF,Torino,18,2000,4,,1,0,0,0,0,0,0.68,0.00,0.68,0.68,0.68,0.2,0.2,0.1,0.12,0.06,0.18,0.12,0.18
Salvatore Sirigu,it,GK,Torino,32,1987,36,,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00
Łukasz Skorupski,pl,GK,Bologna,28,1991,37,,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Andreas Skov Olsen,dk,"FW,MF",Bologna,19,1999,26,,1,0,0,0,2,0,0.12,0.00,0.12,0.12,0.12,1.6,1.6,0.5,0.19,0.05,0.25,0.19,0.25
Simon Skrabb,fi,"MF,FW",Brescia,24,1995,10,,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.04,0.15,0.19,0.04,0.19
Milan Škriniar,sk,DF,Inter,24,1995,32,,0,0,0,0,9,1,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.3,0.03,0.01,0.04,0.03,0.04
Chris Smalling,eng,DF,Roma,29,1989,30,,3,2,0,0,3,0,0.11,0.07,0.18,0.11,0.18,1.9,1.9,1.2,0.07,0.04,0.11,0.07,0.11
